city,company_name,contact_person,designation,email,fax,mobile,phone,pincode,state,street_Address,website
NEW DELHI,SOULACIA HOTEL & RESORT (A UNIT SRISHTI VENTURES),MR. ANURAG BHATNAGAR,DIRECTOR,info@soulacia.com,011-25683164,NULL,"011- 41859666, 26162328",110066,DELHI,"208 ANSAL CHAMBERS- II, BHIKAJI CAMA PLACE",www.soulacia.com
NEW DELHI,SOUL VACATIONS (INDIA) PVT.LTD.,MR.RAKESH TANDON,MANAGING DIRECTOR,soulvacations@vsnl.net,011-43507525,,011-43507524/43507525,,DELHI,"208,DEFENCE COLONY FLYOVER MARKET NEAR JUNGPURA METRO STATION",www.soulvacationsindia.com
GURGAON,SOTC TRAVEL SERVICES PVT. LTD.,MR. DIPAK DEVA,C.E.O-INDIA & SOUTH ASIA,info@in.kuoni.com,0124-4563100,.,0124-45630000,122001,HARYANA,"TOWER B, DELTA SQUARE, M.G. ROAD, SECTOR 25",www.kuoni-dmc.com
NEW DELHI,SOS TRAVEL HOUSE,MR. SUMEET CHOPRA,SR. PARTNER,sos@satyam.net.in,011-26254790,,"011-26255133, 26255134",,DELHI,"230A, MASJID MOTH SOUTH EXTENSION - 2",www.sostravelhouse.com
NEW DELHI,SONA TRAVELS,MR. R.K. ARORA,PARTNER,sonatravels@vsnl.com,011--65576996,#ERROR!,011- 65576996,110008,DELHI,"26/94, GROUND FLOOR WEST PATEL NAGAR",www.sona-travels.com
THIRUVANANTHAPURAM,SOMATHEERAM AYURVEDIC BEACH RESORT PVT. LTD.,MR. BABY MATHEW,CHAIRMAN &  M.D.,mail@somatheeram.in,0471-2267600,.,0471-2268101,,KERALA,CHOWARA P.O. SOUTH OF KOVALAM,www.somatheeram.in
KOCHI,SOMAN'S LEISURE TOURS INDIA P LTD.,MR. M.K. SOMAN,M.D.,leisure_tours@vsnl.net,,9388605321,"0484-4017460-67, (M) 9388",,KERALA,"FIRST FLOOR, JACK'S CASTLE KALOOR - KADAVANTHRA ROAD, P.O. KALOOR,",www.leisureonline.in
NEW DELHI,SOLUTIONS UNLIMITED,MR. RAJEEV GOYAL,PROPRIETOR,rajeev@solutions-unlimited.co.in,.,9810645418,0091 - 9810645418,110051,DELHI,"199-A, EAST AZAD NAGAR, STREET NO.10",www.solutions-unlimited.co.in
NEW DELHI,SOBY TRAVELS PVT. LTD.,MR.PARAS GUPTA,DIRECTOR,booking@sobytravels.com,,.,"011-47987700-701, 4798770",,DELHI,"624, ANSAL CHAMBER-2, BHIKAJI CAMA PLACE",www.incredibleindiatours.org
AHMEDABAD,SOAR EXCURSIONS,MR. ADITYA ROY,PARTNER,info@soarexcursions.com,.,"0091 - 992 523 6030, 987 975 4204","0091 - 992 523 6030, 987 975 4204",380006,GUJARAT,"71, GEEKINI HOUSE, NEAR BANK OF BARODA, LAW GARDEN, ELLISBRIDGE",www.soarexcursions.com
NEW DELHI,SNOWLION EXPEDITIONS PVT. LTD.,MR. ASHOK KOUL,M.D.,contact@snowlion-india.com,011-25530153,9811046607,"011-25524389, 25616120",,DELHI,"SUITE 402, DDA BLDG., NO. 5 DISTRICT CENTRE, JANAKPURI",www.snowlion-india.com
NEW DELHI,SNOW LEOPARD TRAILS (INDIA)PVT.LTD.,MR. T. WANGCHUK KALON,MANAGING DIRECTOR,leopard@nda.vsnl.net.in,,,011-47321757,,DELHI,"F1, FIRST FLOOR, MALHAN FALCON PLAZA, PLOT 4, POCKET-7, SECTOR-12, DWARKA",www.ladakh-tour.com
GURGAON,SNOW LEOPARD ADVENTURES PVT. LTD.,MR. AJEET BAJAJ,MANAGING DIRECTOR,ajeetbajaj@snowleopardadventures.com,,,0124-4592000,122002,HARYANA,"801, 8TH FLOOR, CROSS POINT MALL DLF PHASE-IV",www.snowleopardadventures.com
NEW DELHI,SKYWAYS TOURS & TRAVELS,MR.SATWANT MINHAS,PROPRIETOR,skyjamtours@rediffmail.com,,.,"(M) 8505842640, 993452844",110001,DELHI,"UG-29, PALIKA PALACE, PUNCHKUIA ROAD R.K.ASHRAM MARG METRO STATION",www.skyjamtours.com
BANGALORE,SKYWAY INTERNATIONAL TRAVELS (UNIT OF VAGJIANI CO. PVT. LTD.),MRS. AMARAVATHY M.M. - MANAGING DIRECTOR,MANAGING DIRECTOR,blr@skywaytour.com,080-22111405,.,080-22111401,560 001,KARNATAKA,"02ND FLOOR, 8,ST.MARKS ROAD, PAPANNA STREET",www.skywaytour.com
MYSORE,SKYWAY INTERNATIONAL TRAVELS UNIT OF VAGJIANI TRAVEL CO. P. LTD.,MRS. AMARAVATHY M.M. - MANAGING DIRECTOR,MR. S. MAHALINGAIAH - DIRECTOR,mys@skywaytour.com,0821-2426000,98451 18222,"0821-2444444, (D) 2426222",570005,KARNATAKA,"NO. 370/4, J.L.B. ROAD",www.skywaytour.com
BHUBANESWAR,SKYKING,MR. PRABHASH KUMAR CHOUDHARY,MANAGING PARTNER,skyikingbbi@gmail.com,0674-2390126,.,0674-2390123-125,751001,ODISHA,"L-1, GROUND FLOOR, OCHC COMPLEX, UNIT-3, KHARVEL NAGAR, NEAR RAM MANDIR",www.skyking.co.in
NEW DELHI,SKYLINK TRAVEL PVT LTD,MR. H.S. SACHDEVA,DIRECTOR,skylink@skylinkworld.com,011-23713796,,011-23713791-95,,DELHI,"G-17, MARINA ARCADE CONNAUGHT CIRCUS",
LUDHIANA,SKY HIGH TOURS & TRAVELS,MR. MANMEET SINGH,PROPRIETOR,skyhightours@rediffmail.com,0161-2409782,9417221444,"0161-2771744, (M) 0941722",,PUNJAB,"29 ADARSH NAGAR NEAR FEROZEPUR ROAD, OCTROI POST",
GURGAON,SKG TOURS PVT. LTD.,MR. SUSHIL KUMAR GAUR,DIRECTOR,sushilgaur@gmail.com,.,0091 - 9911493579,0124 - 4255928,ALD151218,HARYANA,"SF, N - 2/4, DLF PHASE 2",www.skgtours.com
JAIPUR,SIYARAM CITY CABS LTD.,MR. SATISH CHAND KATTA,DIRECTOR,siyaram@holidaymakers.co.in,0141-2722272,,"0141-2722227, 2722221, 27",,RAJASTHAN,"SIYARAM STREET, TONK ROAD, DURGAPURA,",www.holidaymakers.co.in
NEW DELHI,SILVER SKY TOURS & TRAVELS PVT. LTD.,MR. DINESH CHAUHAN,DIRECTOR,sales@silverskytravel.net,.,0091- 999 931 4422,0091- 11-33527500/65363688,110075,DELHI,"NO, 65, 3RD FLOOR, SECTOR 12A, DWARKA",www.silverskytravel.net
NEW DELHI,SIMRAN HOLIDAYS PVT. LTD.,MR. GURDEEP SINGH PHIAL,MANAGING DIRECTOR,info@simranholidays.com,.,+91 +91 +91 .,0091-11- 47071069,110046,DELHI,"F-310 to 316. 03RD FLOOR, ADITYA COMMERCIAL COMPLEX, RBC ,JANAKPURI, D- BLOCK NANGAL RAYA",www.simranholidays.com
JAIPUR,SIGNATURE INDIA ROUTES PVT. LTD.,MR. PUSHPENDRA SHARMA,DIRECTOR,pushpendra@signatureindia.co.in,.,.,0141-2290591,302019,RAJASTHAN,"113-114, SUN AND MOON BELVEDERE PARK, PLOT NO.4, SWAGE FARM CIRCLE,NEW SANGANER ROAD, SODALA",www.signatureindia.co.in
NEW DELHI,SILKROAD TOUR INDIA (P) LTD.,MR. MURLIDHAR JHA,DIRECTOR,silkroad_india@hotmail.com,011-27354732,,011-27354730-31,,DELHI,"H-2/204, APRA NORTH- EX PLAZA NETAJI SUBHASH PLACE, PITAMPURA",www.silkroadindia.com
BANGALORE,SIGNATURE HOLIDAYS,MR. MANJUNATH C.B.,DIRECTOR,manju@signatureholidays.co.in,080-22458539,.,080-22456258,,KARNATAKA,"1055, I FLOOR,36TH CROSS, 28TH MAIN ROAD 4TH T BLOCK, JAYANAGAR",www.signatureholidays.co.in
NEW DELHI,SIDDHARTHA INTERNATIONAL,MR. MANOJ SALUJA,PROPRIETOR,siddharthai@hotmail.com,,,011-23730927/ 23730928/ 4,,DELHI,"802, 8TH FLOOR, 27, NEW DELHI HOUSE BARAKHAMBA ROAD",www.siddharthainternational.com
JAIPUR,SIDDARTHA VACATIONS PVT. LTD.,MR.RAJENDRA SINGH RATHORE,DIRECTOR,info@siddarthavacations.com,0141-2351949,NULL,0141-2351949,,RAJASTHAN,"HE-366, SUGREEV MARG, HANUMAN NAGAR EXT. KHATIPURA",www.siddarthavacations.com
NEW DELHI,SIDDHARTH TRAVELS PVT. LTD.,MR. M.S.(KUKI) CHAWLA,DIRECTOR,inbound@siddharthtravel.com,011-41553311,.+ 91 8802931337,011-46565500-514,110020,DELHI,"E-43/1, GROUND FLOOR, OKHLA INDUSTRIAL AREA PHASE-II",www.siddharthtravels.com
BANGALORE,SIDDAGANGA TOURS & TRAVELS,MR. A.M. MAHESH,PROPRIETOR,siddaganga@vsnl.net,080-23103004,.,"080-23387827, 23116744, 2",,KARNATAKA,"NO. 48, SERVICE ROAD, I STAGE, 6TH PHASE WEST OF CHORD ROAD, RAJAJINAGAR",www.siddagangatours.com
RISHIKESH,SHUBH YATRA HOLIDAYS PVT. LTD.,MR. NAVEEN MOHAN,DIRECTOR,shubhyatratravels@hotmail.com,.,0091 9837171605,0135-2431578,249201,UTTRAKHAND,"66-A, SBM SHOPPING COMPLEX,HARIDWAR ROAD RISHIKESH",www.shubhyatratravels.com
GUWAHATI,SHUBHYATRA,MR. SACHIN JAIN,PROPRIETOR,subhyatra40@yahoo.in,.,.,0631-2343030,781005,ASSAM,"SANSUN PLAZA, 1ST FLOOR, NEAR CAR GHAR, G.S. ROAD, GANESHGURI",www.subhyatra.com
MUMBAI,SHRISHTI TOURS & TRAVELS (P) LTD.,MR.RAJAT BAGARIA,MANAGING DIRECTOR,rajat.bagaria@gmail.com,022-40948080,.,0091 -22-40948000,400 002,MAHARASHTRA,"217, TRINITY, CHS, 261, S.S. GAIKWAD MARG, MARINE LINES",www.shrishtiholidays.in
NOIDA,SHRING INTERNATIONAL TRAVELS & TOURS,MR. SANJEEV KUMAR SINGH,PROPRIETOR,shringintl@gmail.com,,NULL,"0120-4274545, 4312142",201301,UTTAR PRADESH,"F-24, SECOND FLOOR, SECTOR-18",www.voyagesone.com
MUMBAI,SHRINE VOYAGES,MR. RAJAN MUTHUSWAMI NAIDU,PROPRIETOR,info@shrinevoyages.in,022-40073333,.,022-40073333,400072,MAHARASHTRA,"106, MILLENNIUM PLAZA, BEHIND, SAKINAKA, TELEPHONE EXCHANGE, OFF ANDHERI, KURLA ROAD, SAKINAKA",www.shrinevoyages.in
NAGPUR,SHREYA TRAVELS,MRS. MANISHA VIJAY GOLCHHA,PROP.,stravels_ngp@sancharnet.in,0712-2562820,.,"0712-2562819, 2562820",,MAHARASHTRA,"INDO UNIQUE PLAZA, PLOT NO. 1 GHATATE LAYOUT, CIVIL LINES",www.shreyatravels.in
BHUBANESWAR,SHREE VENKATESWARA TOURS PVT. LTD.,MR. SATISH SARANGI,DIRECTOR,shreevenkateswaratourspvtltd@gmail.com,,NULL,0674-6555000 (M) 90901100,751007,ODISHA,"PLOT NO. 475, SAHEED NAGAR",www.sierraholidays.com
SILIGURI,SHREE TRAVELS,MR. RAVI MITTAL,PARTNER,ravi@tripmaza.com,.,.,0091 - 353 - 2545157,734001,WEST BENGAL,"ITI MORE, SEVOKE ROAD",www.shreetravels.com
MUMBAI,SHREE SKYJET TRAVELS & TOURS PVT. LTD.,MR. UDYA M.VASUDEO,DIRECTOR,international@skyjettravels.com,,NULL,022-28705552-8,400066,MAHARASHTRA,"19, JEEVAN JYOTI, 1ST KASTURBA ROAD BORIVALI EAST",
NEW DELHI,SHREE SHYAM TRAVELS PVT. LTD,MR. GAURAV PURIA,DIRECTOR,shreeshyamtravels@gmail.com,011-42280130,+91 0091 9911725898,011-47114711,110075,DELHI,"1ST FLOOR, PLOT NO.-9,AMBERHAI EXTENSION, DWARKA, SECTOR-19",www.seeingo.com
NEW DELHI,SHREE TOURS & TRAVELS,MR. SARADA PRASAD MOHAPATRA,PROPRIETOR,shreetravels@airtelmail.in,011-40539349,0091 - 9868152210,011-40529349/ 40813368,110029,DELHI,"B-2/145 III FLOOR, S.J. ENCLAVE",
AMBALA,SHREE RADHEY TOUR & TRAVEL PVT. LTD,MR. AKHILESH GOYAL,DIRECTOR,akhileshgoyal@shreeradheytravels.com,.,+91 8929889898,0091-0171 2443067,134003,HARYANA,"DSS-38, 1ST FLOOR, SECTOR-7, JAIL LAND",www.shreeradheytravels.com
MUMBAI,SHREE SAI RENT A CAR PVT. LTD.,MR. HEMANG VASU,DIRECTOR,hemangvasu@gmail.com,0091-22- 28982678,.,"0091- 022-28982677, 28982678",400092,MAHARASHTRA,"A/4 MAHAVIR NAGAR, FACTORY LANE, BORIVALI (WEST)",
MUMBAI,SHREE HARSHIL TOURS AND TRAVELS,MR. PRAVIN K.SHAH ,PARTNER,info@harshiltours.com    ,0091- 22-28440412,.,0091-22-28804630,400097,MAHARASHTRA,"03 SHUKRA BUILDING DIAMOND MARKET, GAUSHALA LANE, OFF DAFTARY ROAD, MALAD (E)",www.harshiltours.com
MADURAI,SHREE MEENAKSHI TOURS & TRAVELS,MR. S. SUNDER,C.E.O.,info@smtt.com,,.,0452- 4358980 (M) 9444399,625010,TAMIL NADU,"C/O. HOTEL GERMANUS, 28 BYE PASS ROAD",
VARANASI,SHREE DARSHAN TOURS INDIA,MR. AVANEESH KANT PATHAK,VICE PRESIDENT,avaneeshpathak.29@gmail.com,.,.,0091 - 542-2508586,221002,UTTAR PRADESH,"1/47, GROUND FLOOR, IMLOK-II, NADESAR",www.shreedarshantours.com
MUMBAI,SHREE HARSHIL TOURS & TRAVELS,MR.PRAVIN K. SHAH,PARTNER,info@harshiltours.com,022-28440412,0091 - 9820153656,"022-28807223,28804630,284",400097,MAHARASHTRA,"03, SHUKRA BUILDING, DIAMOND MARKET, GAUSHALA LANE,OFF.DAFTARY ROAD,MALAD(E)",www.harshiltours.com
NEW DELHI,SHIVALIK HOLIDAYS,MR.ARVIND SINGH BHANDARI,PROPRIETOR,info@indevoyagerajathan.com,,NULL,011-25729037,,DELHI,"110 HOG MARKET, RAJENDRA PLACE",www.indevoyagerajathan.com
PUNE,SHIV TOURS & TRAVEL SERVICES,MR. ANIL SHINDE,PROPRIETOR,shivttservices@gmail.com,.,0091 - 9595775776,020- 27120117 / 27422925,411018,MAHARASHTRA,"SHOP NO 23 A-WING, KAMLA CROSS ROAD, OPP. PCMC, PIMPRI",www.shivtourism.com
NEW DELHI,SHINE INDIA HOLIDAYS PVT. LTD.,MR.VIJAY KUMAR KOUL,DIRECTOR,discover@shineindiaholidays.com,+91 -11-25023943,+91 9999056260/9999859501,+91 - 11 - 45509977,110057,DELHI,"302, VARDMAN DEE-CEE PLAZA, PLOT NO.6, SECTOR-11, DWARKA",www.shineindiaholidays.com
NEW DELHI,SHIKHAR TRAVELS (I) P LTD,CAPT. SWADESH KUMAR,MG. DIRECTOR,tours@shikhar.com,011-29833660,9811083750,"011-41322940, 29834847",110024,DELHI,"O-47, L.G.F., LAJPAT NAGAR, PART-II",www.shikhar.com
SRINAGAR,SHIRAZ TRAVELS,MR. NAZIR A. BAKSHI,MANAGING PARTNER,,,1234567890,0194-2473696,,JAMMU & KASHMIR,"SHIRIN MANSIONS LAMBERT LANE, RESIDENCY ROAD",
IMPHAL,SHIJA TOURS AND TRAVELS,DR. K.H. PALIN,CMD,shijatoursandtravels@gmail.com,.,+91 - 940 269 9699 ,+91 - 940 269 9699,795001,MANIPUR,"SHIJA HOSPITALS, LANGOL, IMPHAL WEST",www.shijatoursandtravels.com
PUDUCHERRY,SHENBAGA RESIDENCY,MR. A. RAJASEKARAN,MANAGING DIRECTOR,reservation@shenbagahotel.com,.,0091 - 959 708 5011,0413-22 33 991,605003,PUDUCHERRY,"432, MAHATMA GANDHI ROAD, MUTHIALPET",www.shenbagahotel.com
NEW DELHI,SHARP TRAVELS (I) LTD.,MR. SATISH GUPTA,MANAGING DIRECTOR,sharp@sharpmail.in,011-26184045,-9810147461,011-46005555,,DELHI,"111-113, SOMDUTT CHAMBERS-II 9, BHIKAJI CAMA PLACE",www.sharpholidays.com
NEW DELHI,SHASHI TRAVELS & TOURS PVT. LTD.,MR. R.V. SINGH,CHAIRMAN & M.D.,info@shashitours.com,+91-11-25701246,+919811052699/ 9013222619,"+91-11-25701326,45005212",110008,DELHI,"G-1, SHRIRAM BHAWAN, RANJIT NAGAR COMMERCIAL COMPLEX",www.shashitours.com
NASHIK,SHARMA TOURIST DEVELOPMENT CONSULTANCY,MR. NILESH M. SHARMA,PROPRIETOR,stdcnsk@gmail.com,,.,"0253-2318928, 2318929",,MAHARASHTRA,"7, PRESTIGIE POINT, OPP: VASANT MARKET, CANADA CORNER",
NEW DELHI,SHANTI ADVENTURE TOURS (P) LTD.,MR. ALEXANDRE LE BEUAN,MANAGING DIRECTOR,contact@shantitravel.com,011-46077899,+91 .,011-46077800,110022,DELHI,"A-5, FIEE  COMPLEX , OKHLA PHASE-2",www.shantitravel.com
NEW DELHI,SHAMROCK JOURNEYS (P) LTD.,MR. SHAHID ALI KHAN,DIRECTOR,travel@shamrockjourneys.com,011-41827919,,011-41827817,,DELHI,"D-11, L.G.F., MAHARANI BAGH",www.shamrockjourneys.com
SRINAGAR,SHANGLOO TRAVELS PVT. LTD.,HAJI ALI M. SHANGLOO,DIRECTOR,tourinfo@shanglootravels.com,0194-2452523,,"0194-2453587, 2483322, (M",,JAMMU & KASHMIR,"NEAR SICOP BUILDING, BOULEVARD ROAD",www.shanglootravels.com
NEW DELHI,SHAMBHOO TRAVELS AND RESORTS PVT. LTD.,MR.MANISH VYAS,DIRECTOR,manish@shambhoo.com,011-26491395,9871041274,011-26491395,110049,DELHI,"210-F, Ashirwad Bhawan, 1st Floor, Shahpur Jat, Near and Behind MCD Banquet Hall and Tikona Park,",www.shambhoo.com
AHMEDABAD,SHAKTI TRAVELS,MR. JIGAR M. DUDAKIYA,SALES EXEC.,shaktitr@satyam.net.in,079-40218800,.,079-40218888/26408888,,GUJARAT,"401, SHUKAN COMPLEX, SWASTIK CROSS ROAD NAVRANGPURA",www.shaktitravels.com
SRINAGAR,SHALIMAR TRAVELS,MR. BASHIR A. GURU,DIRECTOR,sshalimar.travels@gmail.com,0194-2501651,+91 .,"0194-2477540,2471459",190001,JAMMU & KASHMIR,"10/3, POLO VIEW RESIDENCY ROAD",www.bostan-gulistan.com
ALWAR,SHAKTI RESORT,MR. SURENDER KUMAR KAUL,GENERAL MANAGER,shaktiresort@hotmail.com,01494-220774,,"01494-220618, 220609, 220",,RAJASTHAN,"133, MILESTONE, DELHI-JAIPUR HIGHWAY NATIONAL HIGHWAY 8, BEHROR",www.shaktiresort.com
JAIPUR,SHAHPURA HOUSE,MR. SURENDRA SINGH SHEKHAWAT,PROPRIETOR,reservations@shahpurahouse.com,0141-4089111,0091-9829053494,0141-4089100/ 111,302016,RAJASTHAN,"D-257, DEVI MARG BANI PARK",www.shahpura.com
PUNE,SHAHEED ENTERPRISES,MR. KHALID U. MEMON,PROPRIETOR,shaheedfoods@yahoo.com,.,+91 .9823044786,0091 - 20 - 26130043,411001,MAHARASHTRA,"709, 7th FLOOR, LLOYDS CHAMBERS, MALDHAKKA CHOWK, NEAR HOTEL COCONUT GROOVE, PUNE STATION ROAD,",www.shaheedenterprises.com
SRINAGAR,SHAHNAMA TOURS,MR.MOHAMMAD IBRAHAM SIAH,MANAGING DIRECTOR,shahnamatours123@gmail.com,0194-2501234,.,0194-2500422/ 2501234 (M),,JAMMU & KASHMIR,"1ST FLOOR, ROOM NO.8A,BOULEVARD SHOPPING COMPLEX, DALGATE",www.shahnamatours.com
IMPHAL,SEVEN SISTERS HOLIDAYS,MR. H. RADHAKRISHNA SHARMA,DIRECTOR,7sistersholidays@gmail.com,.,.,0091- 385- 2443977,795001,MANIPUR,M.G. AVENUE, www.sevensistersholidays.com
SRINAGAR,SHAH TRAVELS PVT. LTD.,MR. SHAMIM AHMED SHAH,DIRECTOR,info@shahtravels.com,"0194-2501789, 2501824",,"0194-2501789, 2501824 (M)",,JAMMU & KASHMIR,"AUQAF BUILDING, DALGATE P.O. BOX # 7 (GPO)",www.shahtravels.com
NEW DELHI,SEVEN SEAZ VACATIONS PVT. LTD.,MR.GUNEET SETHI,DIRECTOR,guneetsethi@flywidus.com,.,.,"011 - 47677777, 47677700",110049,DELHI,"H-5, FIRST FLOOR, SOUTH EXTENSION,PART-I",www.flywidus.com
NOIDA,SETH CONSULTANTS PVT. LTD.,MS. GITANJALI SETH,DIRECTOR,info@buddhapath.com,0120-2512162,,0120-2511633,,UTTAR PRADESH,"309-B, SECTOR-15A",www.buddhapath.com
NEW DELHI,SENKAY TOURS AND TRAVELS PVT. LTD.,MR.ANIL KUMAR,DIRECTOR,info@senkaytours.com,011-49890099,NULL,011-49890000,,DELHI,"C-1, FIRST FLOOR, COMMUNITY CENTRE, SAFDARJUNG DEVELOPMENT AREA",www.senkaytours.com
New delhi,SERVICES INTERNATIONAL LTD,MR. PREM LAKHOTIA/ MR. PRAMOD SINGLA/,MR. VINAY MAHESHWARY (DIRECTORS),services@india-travel.com,011-41050540,#ERROR!,"011-41050560,25862636",110060,Delhi,New Delhi,www.india-travelpackages.com
NEW DELHI,SEHGAL TOURIST (R),MR.SUNNY SEHGAL,PARTNER,sehgaltourist@gmail.com,011-28751200,,"011-28752222, 28751200, (",,DELHI,"1018, ARYA SAMAJ ROAD KAROL BAGH",www.sehgaltourist.com
DELHI,SENGE TRAVELS & TOURS PVT. LTD.,MR. DORJEE T. KYIBUK,M.D.,sengetravels@hotmail.com,011-23939373,,"011-23813543, 65975248, 6",,DELHI,"124, NEW ARUNA NAGAR, TIBETAN COLONY MAJNU KA TILA,RING ROAD,OPP:PETROL PUMP",www.sengetravels.com
NEW DELHI,SECRETS OF INDIA TOURS PVT. LTD.,MR. KHAVER ALI KHAN,FOUNDER & CEO,connect@secretsofindia.in,.,+91-9582279602,+91-11-41050390-91-92,110076,DELHI,"103, F&G MARKET, SARITA VIHAR",www.secretsofindia.in
JALANDHAR,SEHDEV TRAVEL EDUCATIONAL SERVICES,MR.DIVYA SEHDEV,PROPRIETOR,divyasehdev@ymail.com,0181-5080437,,"0181-5080435/436, 5031172",,PUNJAB,"S.C.O. 1/6-C, NEW MARKET BEHIND NARINDER CINEMA",www.sehdev.in
BANGALORE,SEA BIRD TOURISTS CENTRE,MR. H.C. NAGARAJAIAH,PROPRIETOR,seabird.2010@live.com,.,.,080-22288888,.,KARNATAKA,"26, 2ND CROSS, SRI RAMA TEMPLE BUILDING,  NEXT TO SANGLI BANK,GANDHI NAGAR",www.seabirdtourist.com
NEW DELHI,SDU TRAVELS PVT. LTD.,MR.SUNIT SURI,CEO,info@twx.co.in,011-43799799,9810077275,"011-43799700, 49799700",,DELHI,"28-32, GROUND FLOOR, RECTANGLE 1, D-4, DISTRICT CENTRE SAKET",www.travelworldexperiences.com
NEW DELHI,SEA & SKY TRAVEL (INDIA) PVT LTD,MR. SHEIKH BASHIR AHMAD,M.D.,nadeem@seaandakytravel.com,011- 26685283,,"011-26681027,41831711",,DELHI,"90/60, MALVIYA NAGAR",www.seaandskytravel.com
INDORE,SAYAJI HOTELS LTD.,MR. SAMEE,GENERAL MANAGER,revenue.manager@sayajigroup.com,0731-4003131,NULL,0731-4006666,452010,MADHYA PRADESH,"H-1, SCHEME NO.54, VIJAY NAGAR",www.sayajihotels.com
NEW DELHI,SCENIC JOURNEY (P) LTD.,MR. S.N. SHARMA,DIRECTOR,info@scenicjourneys.com,011-28743055,9810849554,"011-42432554,28745055 (M)",,DELHI,"129, SHANKAR ROAD MARKET (IIND FLOOR), NEW RAJINDER NAGAR",www.scenicjourneys.com
NEW DELHI,SAVION TRAVEL SERVICES PVT. LTD.,MR. DHIRENDRA TIWARI,DIRECTOR,info@saviontravel.com,011-43317779,0091 9810303459,011-43050608/ 43037330,110092,DELHI,"51, 2ND  FLOOR PATPARGANJ INDUSTRIAL AREA",www.saviontravel.com
MUMBAI,SAVANI TOURS & TRAVELS,MR.SAMIR M. SAVANI,PARTNER,admin@savanitravelhub.com,022-26184000,0091-9820101015,"022-26185000, 9820078584",400057,MAHARASHTRA,"4, ADITYA, PARLESHWAR ROAD VILE PARLE (E)",www.savanitravelhub.com
CHENNAI,SAVERA HOTEL (A UNIT OF SAVERA INDUSTRIES),MR. ANTHONY MICHAEL,GENERAL MANAGER,ramkumar@saverahotel.com,044-28113475,.,044-28114700,,TAMIL NADU,"146, DR. RADHAKRISHNAN ROAD",www.saverahotel.com
NEW DELHI,SATYAM HOLIDAYS,MR.PRAMOD KUMAR,PROPRIETOR,india@satyamholiday.com,,,"011-29535690, 29535691, 2",,DELHI,"B-63/2, PARIYAVARAN COMPLEX, IGNOU ROAD NEB SARAI",www.satyamholiday.com
NEW DELHI,SATKAR TRAVEL LINES,MR. JASBIR SINGH,PROPRIETOR,satkartravel@yahoo.co.in,011-24641917,,"011-24638207,24603254-335",,DELHI,"7, SOUTH MARKET, KIDWAI NAGAR (EAST)",
GURGAON,SAROVAR HOTELS PRIVATE LIMITED,MR. VIJAY JAISWAL,SR.VICE PRESIDENT(S&M),vjaiswal@sarovarhotels.com,0091-124-6632500,+91-9873332725,0091-124-6632500,122009,HARYANA,"GLOBAL FOYER, 504, 05TH FLOOR, GOLF COURSE ROAD, SECTOR-43,",www.sarovarhotels.com
VARANASI,SARNATH TRAVELS & TOURS PVT. LTD.,MR. RAJ BANDHU KHANNA,MANAGING DIRECTOR,sarnathraju@gmail.com,0542-2363629,,"0542-2363629, 2360415,236",,UTTAR PRADESH,"B-38/195, K-4, RAGHUNATH NAGAR MAHMOORGANJ",www.sarnathtravels.com
KANNUR,SAROMA HOLIDAYS (A UNIT OF SAROMA HOTELS & RESORTS PVT. LTD.),MR. PRADEEP KUMAR NAMBIAR,M.D.,saroma@saromaholidays.com,0490-2311222,.,0490-2316244,,KERALA,"SAROMA HOUSE, CALICUT ROAD, P.O. PANOOR, KANNUR DISTRICT",www.saromaholidays.com
NEW DELHI,SAPTAM LUXURY TRAVELS PVT. LTD.,MR. DINESH KUMAR VERMA,CEO,voyagestoindia@gmail.com,011-43008774,.,"011-32532503, 32603589",110055,DELHI,"BG-24, RG CITY CENTRE, MOTIA KHAN, PAHAR GANJ",www.touroperatorindia.in
GURGAON,SANYOG GUPTA VOYAGES,MR. RADHEY K. GUPTA,DIRECTOR,info@sgvoyages.com,0124-4113162,,"0124-4113161, 4113160",,HARYANA,"SCO 83 (SHOPPING COMPLEX), SECTOR-22 OPP.ROTRY PUBLIC SCHOOL PALAM VIHAR ROAD",www.sgvoyages.com
AGRA,SANSKRITI VACATIONS (INDIA) PVT.LTD,MRS. SUNITA SAXENA,MANAGING DIRECTOR,info@sanskritivacations.com,0562-2230144,.,0562-6533474,,UTTAR PRADESH,"SF-196 A,PARSVANATH PANCHAVATI OPP. ADA HEIGHTS, TAJ NAGARI, PHASE-II, FATEHABAD",www.sanskritivacations.com
NEW DELHI,SANSKRITI TOURS PVT. LTD.,MR.TARUN RAIKHY,DIRECTOR,tarun@sanskrititours.com,,#ERROR!,011-25080675,,DELHI,"S 203A, 2ND FLOOR, HL ARCADE, SECTOR-5 (MLU), PLOT-14, DWARKA",www.sanskrititours.com
TIRICHHRAPPALLI,SANGAM HOTELS (UNIT OF SANGU CHAKRA HOTELS PVT. LTD.,MR. T.K. MURTHY,GROUP GENERAL MANAGER,reservation@sangamhotels.com,0431-2418480,.,0431-4242555 0431-2418480,620001,TAMIL NADU,"F-2, “THEOS HERITAGE”, NO.1 ALEXANDRIA ROAD, CANTONMENT",www.sangamhotels.com
